startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
M95/3,M22,15:51:47,0,-1,2,MY9491,110
T339/4,T408/1,15:52:08,0,3,-1,MX3590,173
C692,C689/1,15:52:41,0,-1,1,MY9487,39
T409,T368,15:52:44,0,-1,2,MY7560,49
T373/2,T375,15:52:48,0,-1,2,MY9211,39
M127,M125,15:53:19,0,-1,2,MX7866,109
T368,T324/2,15:53:30,0,-1,1,MY7560,31
C689/1,T355/2,15:53:42,0,-1,1,MY9362,170
T408/1,T343,15:54:37,0,2,-1,MX3590,115
T375,T380,15:54:55,0,-1,2,MY9211,89
T324/2,T327,15:55:23,0,-1,1,MY7560,62
M182/1,T431,15:55:30,0,-1,1,MY9278,198
T380,T379,15:55:55,0,-1,2,MY9211,14
C689/1,T355/2,15:56:16,0,-1,1,MY9487,176
M22,M10,15:56:30,0,-1,2,MY9491,190
T327,T326/2,15:56:30,0,-1,1,MY7560,31
T355/2,T360,15:56:40,0,-1,2,MY9362,160
T379,T359,15:56:47,0,-1,-1,MY9211,20
T431,T335/2,15:57:08,0,-1,-1,MY9278,73
T343,T316,15:57:30,0,3,-1,MX3590,123
T335/2,T338,15:58:02,0,-1,-1,MY9278,21
T359,T355/1,15:58:13,0,-1,1,MY9211,75
T326/2,T337,15:58:23,0,-1,1,MY7560,103
T360,T376/1,15:58:34,0,-1,2,MY9362,99
M139/2,M184,15:58:52,0,-1,-1,MX7866,131
T355/2,T360,15:58:52,0,-1,2,MY9487,145
T337,T334,15:58:55,0,-1,1,MY7560,24
M184,M188,15:59:12,0,-1,-1,MX7866,13
T338,T326/3,15:59:41,0,-1,-1,MY9278,66
T316,T345/5,15:59:55,0,3,-1,MX3590,134
M10,M16/1,15:59:58,0,-1,2,MY9491,101
T376/1,T363/1,16:00:09,0,-1,1,MY9362,84
M188,M203/2,16:00:37,0,-1,1,MX7866,74
T360,T376/1,16:00:37,0,-1,1,MY9487,71
T334,T430,16:00:37,0,-1,-1,MY7560,56
T326/3,T332/2,16:00:55,0,-1,1,MY9278,63
M203/2,M277,16:01:45,0,-1,-1,MX7866,55
T376/1,T363/1,16:02:02,0,-1,1,MY9487,73
T345/5,T344,16:02:09,0,3,-1,MX3590,99
T332/2,T325/3,16:02:23,0,-1,2,MY9278,84
T363/1,T374,16:02:44,0,-1,-1,MY9362,59
T325/3,T339/4,16:02:48,0,-1,1,MY9278,17
T355/1,C688/1,16:03:02,0,-1,1,MY9211,275
M16/1,M109,16:03:09,0,-1,2,MY9491,14
T344,T356/1,16:03:16,0,3,1,MX3590,31
T363/1,T374,16:03:23,0,-1,-1,MY9487,38
T374,T406,16:03:57,0,-1,-1,MY9362,48
M277,M182/1,16:04:11,0,-1,1,MX7866,139
C688/1,C691,16:04:41,0,-1,1,MY9211,29
T339/4,T408/1,16:04:45,0,-1,-1,MY9278,102
T374,T406,16:04:48,0,-1,-1,MY9487,40
T356/1,T358,16:05:35,0,2,-1,MX3590,62
T430,M177,16:06:20,0,-1,1,MY7560,314
T358,T373/2,16:06:52,0,3,2,MX3590,28
T408/1,T343,16:07:20,0,-1,-1,MY9278,136
M109,M112,16:07:37,0,-1,1,MY9491,264
C691,C652,16:07:55,0,-1,1,MY9211,146
M182/1,T431,16:08:05,0,-1,1,MX7866,203
T373/2,T375,16:08:50,0,5,2,MX3590,34
C652,C655,16:08:50,0,-1,-1,MY9211,41
M112,M127,16:08:55,0,-1,1,MY9491,42
M22,M10,16:09:12,0,-1,-1,MW3496,144
T343,T316,16:09:31,0,-1,-1,MY9278,107
T431,T335/2,16:09:42,0,-1,-1,MX7866,86
M177,M198,16:10:00,0,-1,1,MY7560,153
T375,T380,16:10:07,0,5,2,MX3590,28
C655,C657,16:10:07,0,-1,1,MY9211,47
T335/2,T338,16:10:21,0,-1,1,MX7866,10
M127,M125,16:10:38,0,-1,1,MY9491,48
C657,C686,16:10:45,0,-1,1,MY9211,27
T406,T345/1,16:10:45,0,-1,-1,MY9362,393
T380,T379,16:10:55,0,4,3,MX3590,10
T406,T345/1,16:10:55,0,-1,-1,MY9487,320
M10,M16/1,16:11:30,0,-1,2,MW3496,86
T316,T345/5,16:11:34,0,-1,-1,MY9278,115
T379,T359,16:12:02,0,4,-1,MX3590,17
C686,C656,16:12:27,0,-1,1,MY9211,57
T345/5,T344,16:13:20,0,-1,-1,MY9278,99
M125,M136/2,16:13:31,0,-1,2,MY9491,88
T359,T355/1,16:13:34,0,4,1,MX3590,80
C656,C654/3,16:13:46,0,-1,1,MY9211,49
M16/1,M109,16:13:49,0,-1,2,MW3496,81
M198,M183/2,16:13:53,0,-1,1,MY7560,212
T344,T356/1,16:14:10,0,-1,1,MY9278,46
T345/1,T322,16:14:17,0,-1,-1,MY9362,184
T332/2,T325/3,16:14:35,0,-1,1,MX7866,53
T332/2,T325/3,16:14:41,0,-1,1,MX7866,3
M136/2,M139/2,16:14:56,0,-1,1,MY9491,52
T325/3,T339/4,16:15:10,0,-1,1,MX7866,14
C654/3,C653/2,16:15:31,0,-1,1,MY9211,84
M183/2,M140/1,16:15:36,0,-1,1,MY7560,32
T345/1,T322,16:15:42,0,-1,-1,MY9487,268
T356/1,T358,16:16:48,0,-1,1,MY9278,147
T322,T342,16:16:48,0,-1,-1,MY9362,123
M140/1,M137/2,16:16:55,0,-1,-1,MY7560,31
T358,T373/2,16:17:46,0,-1,2,MY9278,32
C653/2,C692,16:17:50,0,-1,3,MY9211,110
M109,M112,16:17:53,0,-1,1,MW3496,184
T322,T342,16:18:00,0,-1,-1,MY9487,120
T355/1,C688/1,16:18:04,0,4,2,MX3590,262
M137/2,M132/1,16:18:04,0,-1,1,MY7560,35
M139/2,M184,16:18:14,0,-1,-1,MY9491,145
M184,M188,16:18:39,0,-1,-1,MY9491,14
T342,T409,16:18:50,0,-1,1,MY9362,81
T339/4,T408/1,16:18:57,0,-1,-1,MX7866,220
C692,C689/1,16:19:11,0,-1,1,MY9211,28
T373/2,T375,16:19:14,0,-1,2,MY9278,35
T375,T380,16:19:46,0,-1,3,MY9278,21
M132/1,M200,16:19:50,0,-1,3,MY7560,24
T342,T409,16:19:57,0,-1,1,MY9487,88
M188,M203/2,16:20:05,0,-1,1,MY9491,75
M112,M127,16:20:12,0,-1,2,MW3496,64
T380,T379,16:20:19,0,-1,3,MY9278,10
T408/1,T343,16:20:34,0,-1,-1,MX7866,69
C688/1,C691,16:20:41,0,3,1,MX3590,108
T379,T359,16:20:59,0,-1,1,MY9278,17
M200,M201,16:21:02,0,-1,-1,MY7560,17
M203/2,M277,16:21:05,0,-1,-1,MY9491,53
T409,T368,16:21:05,0,-1,1,MY9362,93
M127,M125,16:21:33,0,-1,1,MW3496,45
T359,T355/1,16:22:12,0,-1,1,MY9278,66
T409,T368,16:22:22,0,-1,1,MY9487,108
C691,C652,16:22:26,0,3,1,MX3590,59
T368,T324/2,16:22:29,0,-1,1,MY9362,48
M201,M121,16:23:07,0,-1,3,MY7560,108
M277,M182/1,16:23:29,0,-1,1,MY9491,132
C652,C655,16:23:39,0,2,-1,MX3590,31
T368,T324/2,16:23:46,0,-1,1,MY9487,52
M22,M10,16:23:50,0,-1,-1,MY9154,129
M125,M136/2,16:23:50,0,-1,-1,MW3496,77
C689/1,T355/2,16:23:57,0,-1,1,MY9211,185
T343,T316,16:24:18,0,-1,-1,MX7866,119
C655,C657,16:24:35,0,2,-1,MX3590,45
T324/2,T327,16:24:39,0,-1,1,MY9362,84
M136/2,M139/2,16:25:24,0,-1,1,MW3496,66
M121,M119,16:25:24,0,-1,3,MY7560,69
C657,C686,16:25:31,0,2,1,MX3590,24
T324/2,T327,16:25:38,0,-1,1,MY9487,73
T355/2,T360,16:26:14,0,-1,1,MY9211,126
T316,T345/5,16:26:21,0,-1,-1,MX7866,112
T327,T326/2,16:26:32,0,-1,1,MY9362,75
T355/1,C688/1,16:26:42,0,-1,2,MY9278,263
M10,M16/1,16:26:49,0,-1,3,MY9154,119
T327,T326/2,16:26:56,0,-1,1,MY9487,38
M182/1,T431,16:26:59,0,-1,1,MY9491,203
C686,C656,16:27:21,0,2,1,MX3590,77
C688/1,C691,16:27:49,0,-1,1,MY9278,31
T360,T376/1,16:27:49,0,-1,2,MY9211,70
M119,M113,16:27:49,0,-1,-1,MY7560,87
T345/5,T344,16:27:52,0,-1,1,MX7866,77
T326/2,T337,16:27:56,0,-1,1,MY9362,67
M139/2,M184,16:28:04,0,-1,-1,MW3496,117
C656,C654/3,16:28:25,0,2,1,MX3590,51
T326/2,T337,16:28:29,0,-1,1,MY9487,78
T431,T335/2,16:28:36,0,-1,-1,MY9491,69
T344,T356/1,16:28:36,0,-1,-1,MX7866,35
M184,M188,16:28:46,0,-1,-1,MW3496,24
T337,T334,16:28:53,0,-1,1,MY9362,28
M16/1,M109,16:29:08,0,-1,1,MY9154,18
C691,C652,16:29:12,0,-1,1,MY9278,53
T337,T334,16:29:15,0,-1,1,MY9487,36
T335/2,T338,16:29:26,0,-1,-1,MY9491,13
T376/1,T363/1,16:29:43,0,-1,2,MY9211,106
M113,M94,16:29:43,0,-1,-1,MY7560,38
M188,M203/2,16:30:11,0,-1,1,MW3496,74
T356/1,T358,16:30:22,0,-1,-1,MX7866,102
C652,C655,16:30:36,0,-1,-1,MY9278,38
T334,T430,16:30:58,0,-1,-1,MY9362,67
M203/2,M277,16:31:01,0,-1,-1,MW3496,39
T338,T326/3,16:31:05,0,-1,-1,MY9491,92
T363/1,T374,16:31:19,0,-1,-1,MY9211,64
T358,T373/2,16:31:29,0,-1,2,MX7866,31
T334,T430,16:31:33,0,-1,-1,MY9487,92
C655,C657,16:31:45,0,-1,-1,MY9278,43
M109,M112,16:32:03,0,-1,1,MY9154,143
T374,T406,16:32:13,0,-1,-1,MY9211,27
C657,C686,16:32:16,0,-1,-1,MY9278,19
T326/3,T332/2,16:32:23,0,-1,1,MY9491,64
T373/2,T375,16:32:30,0,-1,1,MX7866,27
C654/3,C653/2,16:33:08,0,3,-1,MX3590,236
M277,M182/1,16:33:37,0,-1,1,MW3496,144
M277,M182/1,16:33:47,0,-1,1,MW3496,7
T332/2,T325/3,16:33:54,0,-1,3,MY9491,76
C686,C656,16:33:57,0,-1,1,MY9278,49
T375,T380,16:34:08,0,-1,1,MX7866,42
M112,M127,16:34:22,0,-1,1,MY9154,56
T325/3,T339/4,16:34:53,0,-1,-1,MY9491,20
T380,T379,16:35:00,0,-1,1,MX7866,13
C656,C654/3,16:35:11,0,-1,2,MY9278,55
C653/2,C692,16:35:20,0,4,3,MX3590,68
T379,T359,16:35:27,0,-1,-1,MX7866,23
M127,M125,16:35:49,0,-1,2,MY9154,38
C692,C689/1,16:36:31,0,4,1,MX3590,10
T359,T355/1,16:36:55,0,-1,1,MX7866,76
T430,M177,16:37:02,0,-1,1,MY9362,347
T430,M177,16:37:13,0,-1,1,MY9487,327
