startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
M140/1,M137/2,00:58:09,3,-1,1,MY9362,18
M137/2,M132/1,00:58:57,3,-1,1,MY9362,27
M132/1,M200,00:59:14,3,-1,2,MY9362,10
M200,M201,01:00:12,3,-1,-1,MY9362,50
M201,M121,01:00:51,3,-1,-1,MY9362,21
M121,M119,01:01:45,3,-1,1,MY9362,23
M119,M113,01:03:06,3,-1,-1,MY9362,74
M113,M94,01:03:53,3,-1,-1,MY9362,20
M95/3,M22,06:00:37,3,-1,1,MY9487,68
M22,M10,06:03:06,3,-1,1,MY9487,98
M10,M16/1,06:05:02,3,-1,-1,MY9487,81
M16/1,M109,06:07:11,3,-1,1,MY9487,18
M109,M112,06:10:34,3,-1,1,MY9487,169
M112,M127,06:12:10,3,-1,1,MY9487,20
M127,M125,06:13:04,3,-1,1,MY9487,23
M125,M136/2,06:14:18,3,-1,1,MY9487,23
M136/2,M139/2,06:15:03,3,-1,1,MY9487,28
M139/2,M184,06:17:23,3,-1,1,MY9487,95
M184,M188,06:17:47,3,-1,1,MY9487,10
M188,M203/2,06:19:11,3,-1,1,MY9487,26
M203/2,M277,06:20:16,3,-1,-1,MY9487,55
M95/3,M22,06:21:51,3,-1,1,MY9211,112
M277,M182/1,06:22:44,3,-1,1,MY9487,137
M22,M10,06:24:02,3,-1,1,MY9211,100
M10,M16/1,06:25:41,3,-1,2,MY9211,71
M182/1,T431,06:26:11,3,-1,1,MY9487,197
T431,T335/2,06:27:27,3,-1,1,MY9487,65
T335/2,T338,06:28:10,3,-1,-1,MY9487,13
M16/1,M109,06:28:14,3,-1,1,MY9211,99
M109,M112,06:31:10,3,-1,1,MY9211,145
T332/2,T325/2,06:31:41,3,-1,1,MY9487,50
C656,C654/3,06:32:04,3,-1,1,MY9282,50
C656,C654/3,06:32:11,3,-1,1,MY9282,3
M112,M127,06:32:21,3,-1,1,MY9211,33
T325/2,T339/4,06:32:21,3,-1,1,MY9487,10
