startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,passbyNum,weather,arrivalDuration
M95/3,M22,6:00:42,3,-1,1,MX7769,0,2,62
M22,M10,6:02:43,3,-1,1,MX7769,0,2,70
M10,M16/1,6:04:14,3,-1,1,MX7769,0,2,50
M16/1,M109,6:05:45,3,-1,1,MX7769,0,2,20
M109,M112,6:08:37,3,-1,1,MX7769,0,2,141
M112,M127,6:09:17,3,-1,1,MX7769,0,2,20
M127,M125,6:09:57,3,-1,1,MX7769,0,2,30
M136/2,M139/2,6:10:58,3,-1,2,MX7769,0,2,10
M139/2,M184,6:12:49,3,-1,1,MX7769,0,2,70
M184,M188,6:13:30,3,-1,1,MX7769,0,2,10
M188,M203/2,6:14:51,3,-1,1,MX7769,0,2,70
M203/2,M182/1,6:17:56,3,-1,1,MX7769,1,2,175
M95/3,M22,6:19:58,3,-1,1,MX7866,0,2,30
M182/1,T431,6:21:39,3,-1,1,MX7769,0,2,202
M22,M10,6:21:49,3,-1,1,MX7866,0,2,80
T431,T335,6:22:49,3,-1,1,MX7769,0,2,60
M10,M16/1,6:23:30,3,-1,1,MX7866,0,2,90
T338,T326/3,6:24:43,3,-1,-1,MX7769,0,2,42
M16/1,M109,6:24:53,3,-1,1,MX7866,0,2,20
T326/3,T332/2,6:26:04,3,-1,1,MX7769,0,2,70
T332/2,T325/2,6:27:04,3,-1,1,MX7769,0,2,40
T325/2,T339/2,6:27:25,3,-1,1,MX7769,0,2,10
M109,M112,6:27:45,3,-1,1,MX7866,0,2,131
T339/2,T408/1,6:29:46,3,-1,-1,MX7769,0,2,111
M112,M127,6:29:56,3,-1,1,MX7866,0,2,90
M127,M125,6:30:47,3,-1,1,MX7866,0,2,40
T408/1,T343,6:31:17,3,-1,-1,MX7769,0,2,80
C657,C654/3,6:31:57,3,-1,1,MY7560,2,2,50
M125,M139/2,6:32:58,3,-1,2,MX7866,1,2,101
T343,T316,6:33:18,3,-1,1,MX7769,0,2,90
C654/3,C653/2,6:33:38,3,-1,1,MY7560,0,2,90
M139/2,M184,6:33:59,3,-1,2,MX7866,0,2,20
C653/2,C692,6:34:49,3,-1,1,MY7560,0,2,50
M184,M203/2,6:35:09,3,-1,1,MX7866,1,2,30
T316,T345/5,6:35:20,3,-1,1,MX7769,0,2,101
C692,C689/1,6:35:40,3,-1,1,MY7560,0,2,40
M203/2,M277,6:36:20,3,-1,-1,MX7866,0,2,60
T345/5,T344,6:36:44,3,-1,1,MX7769,0,2,54
T344,T356/1,6:37:45,3,-1,1,MX7769,0,2,30
M277,M182/1,6:38:36,3,-1,1,MX7866,0,2,121
C689/1,T355/2,6:38:46,3,-1,1,MY7560,0,2,111
T356/1,T358,6:39:16,3,-1,1,MX7769,0,2,80
T358,T373/2,6:40:07,3,-1,1,MX7769,0,2,30
T373/2,T375,6:40:57,3,-1,1,MX7769,0,2,40
T355/2,T360,6:40:57,3,-1,1,MY7560,0,2,101
M95/3,M22,6:41:07,3,-1,1,AA7537,0,2,90
T375,T380,6:41:58,3,-1,1,MX7769,0,2,40
T360,T376/1,6:42:08,3,-1,1,MY7560,0,2,40
M182/1,T431,6:42:28,3,-1,1,MX7866,0,2,202
T380,T379,6:42:28,3,-1,1,MX7769,0,2,10
M22,M10,6:43:08,3,-1,1,AA7537,0,2,101
T376/1,T363/1,6:43:08,3,-1,1,MY7560,0,2,50
T431,T335,6:43:39,3,-1,1,MX7866,0,2,60
T379,T359,6:43:39,3,-1,1,MX7769,0,2,50
T363/1,T374,6:44:09,3,-1,1,MY7560,0,2,40
T335,T338,6:44:29,3,-1,1,MX7866,0,2,40
T359,T355/1,6:44:39,3,-1,1,MX7769,0,2,40
T374,T406,6:44:49,3,-1,1,MY7560,0,2,30
M10,M16/1,6:45:00,3,-1,1,AA7537,0,2,101
T338,T326/3,6:46:12,3,-1,-1,MX7866,0,2,82
M16/1,M109,6:46:22,3,-1,1,AA7537,0,2,20
T326/3,T332/2,6:47:23,3,-1,1,MX7866,0,2,50
C655,C653/2,6:48:14,3,-1,1,MY9491,4,2,30
T355/1,C688/1,6:48:34,3,-1,2,MX7769,0,2,224
M109,M112,6:48:44,3,-1,1,AA7537,0,2,111
T332/2,T339/2,6:49:14,3,-1,1,MX7866,1,2,101
C653/2,C692,6:49:55,3,-1,3,MY9491,0,2,80
C688/1,C691,6:50:05,3,-1,1,MX7769,0,2,60
M112,M127,6:50:35,3,-1,1,AA7537,0,2,80
T406,T345/1,6:50:35,3,-1,-1,MY7560,0,2,335
T339/2,T408/1,6:51:16,3,-1,-1,MX7866,0,2,90
M127,M125,6:51:36,3,-1,1,AA7537,0,2,20
C691,C652,6:52:26,3,-1,1,MX7769,0,2,111
T345/1,T322,6:52:26,3,-1,-1,MY7560,0,2,80
T408/1,T343,6:52:36,3,-1,-1,MX7866,0,2,60
C652,C655,6:53:17,3,-1,1,MX7769,0,2,30
M125,M136/2,6:53:28,3,-1,1,AA7537,0,2,81
M136/2,M139/2,6:53:58,3,-1,1,AA7537,0,2,10
C655,C657,6:54:08,3,-1,1,MX7769,0,2,40
C692,T355/2,6:54:08,3,-1,1,MY9491,1,2,213
T322,T342,6:54:19,3,-1,-1,MY7560,0,2,71
T343,T316,6:54:39,3,-1,1,MX7866,0,2,92
M139/2,M184,6:54:59,3,-1,1,AA7537,0,2,30
C657,C686,6:54:59,3,-1,1,MX7769,0,2,20
T342,T409,6:55:09,3,-1,1,MY7560,0,2,40
M184,M188,6:56:10,3,-1,1,AA7537,0,2,10
T316,T345/5,6:56:20,3,-1,1,MX7866,0,2,90
C686,C656,6:56:20,3,-1,1,MX7769,0,2,40
T409,T368,6:56:30,3,-1,1,MY7560,0,2,60
T355/2,T376/1,6:56:50,3,-1,1,MY9491,1,2,131
T368,T324/2,6:57:00,3,-1,1,MY7560,0,2,20
M188,M203/2,6:57:21,3,-1,1,AA7537,0,2,20
C656,C654/3,6:57:21,3,-1,1,MX7769,0,2,50
T376/1,T363/1,6:57:53,3,-1,1,MY9491,0,2,42
T324/2,T327,6:58:03,3,-1,1,MY7560,0,2,30
M203/2,M277,6:58:13,3,-1,-1,AA7537,0,2,30
T345/5,T356/1,6:58:34,3,-1,1,MX7866,1,2,83
T327,T326/2,6:59:14,3,-1,1,MY7560,0,2,20
T363/1,T406,6:59:24,3,-1,1,MY9491,1,2,70
T356/1,T358,7:00:05,3,-1,1,MX7866,0,2,60
C654/3,C653/2,7:00:15,3,-1,1,MX7769,0,2,50
T326/2,T337,7:00:15,3,-1,1,MY7560,0,2,50
M95/3,M22,7:00:25,3,-1,1,MY9487,0,2,30
M277,M182/1,7:00:25,3,-1,1,AA7537,0,2,121
T358,T373/2,7:00:45,3,-1,1,MX7866,0,2,30
T337,T334,7:01:16,3,-1,1,MY7560,0,2,20
T373/2,T375,7:01:36,3,-1,1,MX7866,0,2,30
C653/2,C692,7:01:56,3,-1,2,MX7769,0,2,80
T375,T380,7:02:26,3,-1,1,MX7866,0,2,40
T334,T430,7:02:36,3,-1,1,MY7560,0,2,50
M22,M10,7:02:47,3,-1,1,MY9487,0,2,70
T380,T379,7:02:57,3,-1,1,MX7866,0,2,10
T379,T359,7:03:27,3,-1,1,MX7866,0,2,20
M182/1,T431,7:03:47,3,-1,1,AA7537,0,2,191
C692,C689/1,7:03:47,3,-1,1,MX7769,0,2,60
T406,T345/1,7:04:07,3,-1,-1,MY9491,0,2,252
M10,M16/1,7:04:28,3,-1,1,MY9487,0,2,60
T359,T355/1,7:04:28,3,-1,1,MX7866,0,2,50
T431,T335,7:05:28,3,-1,1,AA7537,0,2,90
M16/1,M109,7:05:48,3,-1,1,MY9487,0,2,20
C689/1,T355/2,7:05:48,3,-1,1,MX7769,0,2,111
T345/1,T322,7:06:09,3,-1,-1,MY9491,0,2,90
T338,T326/3,7:06:59,3,-1,-1,AA7537,0,2,50
T430,M177,7:07:30,3,-1,1,MY7560,0,2,272
T355/2,T360,7:07:50,3,-1,1,MX7769,0,2,101
T322,T342,7:07:50,3,-1,-1,MY9491,0,2,80
T355/1,C688/1,7:08:20,3,-1,2,MX7866,0,2,202
T326/3,T325/2,7:09:13,3,-1,1,AA7537,1,2,113
T342,T409,7:09:33,3,-1,1,MY9491,0,2,60
M177,M198,7:09:33,3,-1,2,MY7560,0,2,113
T360,T376/1,7:09:43,3,-1,1,MX7769,0,2,83
T325/2,T339/2,7:09:53,3,-1,1,AA7537,0,2,20
C688/1,C691,7:09:53,3,-1,1,MX7866,0,2,70
M109,M112,7:10:14,3,-1,2,MY9487,0,2,214
T376/1,T363/1,7:11:04,3,-1,1,MX7769,0,2,60
T339/2,T408/1,7:11:25,3,-1,-1,AA7537,0,2,70
T409,T324/2,7:11:25,3,-1,1,MY9491,1,2,80
M112,M127,7:11:35,3,-1,1,MY9487,0,2,20
C691,C652,7:11:35,3,-1,1,MX7866,0,2,80
T363/1,T374,7:11:45,3,-1,1,MX7769,0,2,30
C652,C655,7:12:25,3,-1,1,MX7866,0,2,30
T374,T406,7:12:25,3,-1,1,MX7769,0,2,30
M198,M183/2,7:12:35,3,-1,2,MY7560,0,2,172
M127,M125,7:12:56,3,-1,1,MY9487,0,2,30
T324/2,T327,7:13:06,3,-1,1,MY9491,0,2,60
T408/1,T343,7:13:26,3,-1,-1,AA7537,0,2,50
C655,C657,7:13:36,3,-1,1,MX7866,0,2,40
M183/2,M140/1,7:13:46,3,-1,1,MY7560,0,2,10
T327,T326/2,7:13:56,3,-1,1,MY9491,0,2,30
M125,M136/2,7:14:27,3,-1,1,MY9487,0,2,20
C657,C686,7:14:27,3,-1,1,MX7866,0,2,20
T326/2,T337,7:14:57,3,-1,1,MY9491,0,2,50
T343,T316,7:15:27,3,-1,1,AA7537,0,2,91
C686,C656,7:15:37,3,-1,1,MX7866,0,2,30
T337,T334,7:15:37,3,-1,1,MY9491,0,2,20
M136/2,M139/2,7:16:08,3,-1,2,MY9487,0,2,70
M140/1,M137/2,7:16:18,3,-1,1,MY7560,0,2,60
C656,C654/3,7:16:58,3,-1,1,MX7866,0,2,60
T334,T430,7:16:58,3,-1,1,MY9491,0,2,60
M137/2,M132/1,7:17:08,3,-1,1,MY7560,0,2,30
M95/3,M22,7:17:49,3,-1,1,AA7450,0,2,40
T316,T345/5,7:17:49,3,-1,1,AA7537,0,2,131
T406,T345/1,7:17:49,3,-1,-1,MX7769,0,2,313
M132/1,M200,7:18:09,3,-1,1,MY7560,0,2,20
M139/2,M184,7:18:29,3,-1,2,MY9487,0,2,70
T345/5,T344,7:19:20,3,-1,1,AA7537,0,2,50
M184,M188,7:19:40,3,-1,1,MY9487,0,2,10
T345/1,T322,7:19:40,3,-1,-1,MX7769,0,2,80
M22,M10,7:20:00,3,-1,1,AA7450,0,2,70
T344,T356/1,7:20:10,3,-1,1,AA7537,0,2,20
C654/3,C653/2,7:20:44,3,-1,1,MX7866,0,2,53
M200,M121,7:20:44,3,-1,1,MY7560,1,2,104
M188,M203/2,7:21:04,3,-1,1,MY9487,0,2,10
T322,T342,7:21:35,3,-1,-1,MX7769,0,2,94
T430,M177,7:21:45,3,-1,1,MY9491,0,2,276
T356/1,T358,7:22:15,3,-1,1,AA7537,0,2,91
M121,M119,7:22:15,3,-1,2,MY7560,0,2,50
M10,M16/1,7:22:25,3,-1,1,AA7450,0,2,80
T342,T409,7:22:46,3,-1,1,MX7769,0,2,40
T358,T373/2,7:23:16,3,-1,1,AA7537,0,2,30
M119,M113,7:23:26,3,-1,-1,MY7560,0,2,40
T373/2,T375,7:24:06,3,-1,1,AA7537,0,2,20
C653/2,C689/1,7:24:37,3,-1,1,MX7866,1,2,222
T409,T368,7:24:37,3,-1,1,MX7769,0,2,80
M16/1,M109,7:24:47,3,-1,1,AA7450,0,2,80
M177,M198,7:24:47,3,-1,1,MY9491,0,2,161
T375,T380,7:25:07,3,-1,1,AA7537,0,2,20
M113,M94,7:25:07,3,-1,-1,MY7560,0,2,90
M203/2,M182/1,7:25:37,3,-1,1,MY9487,1,2,222
T380,T379,7:25:37,3,-1,1,AA7537,0,2,10
T368,T324/2,7:25:58,3,-1,1,MX7769,0,2,40
T379,T359,7:26:08,3,-1,1,AA7537,0,2,20
M94,M95/3,7:26:08,3,-1,-1,MY7560,0,2,40
M198,M183/2,7:26:18,3,-1,2,MY9491,0,2,80
T359,T355/1,7:27:08,3,-1,1,AA7537,0,2,50
C689/1,T355/2,7:27:29,3,-1,1,MX7866,0,2,131
T324/2,T327,7:27:39,3,-1,1,MX7769,0,2,60
M183/2,M140/1,7:28:19,3,-1,1,MY9491,0,2,20
M109,M112,7:28:29,3,-1,1,AA7450,0,2,192
T327,T326/2,7:28:50,3,-1,1,MX7769,0,2,30
M140/1,M137/2,7:29:10,3,-1,1,MY9491,0,2,30
T355/2,T360,7:29:35,3,-1,1,MX7866,0,2,85
M112,M127,7:29:55,3,-1,1,AA7450,0,2,35
M182/1,T431,7:29:55,3,-1,1,MY9487,0,2,217
T326/2,T337,7:30:05,3,-1,1,MX7769,0,2,55
T360,T376/1,7:30:36,3,-1,1,MX7866,0,2,20
T337,T334,7:30:56,3,-1,1,MX7769,0,2,20
M127,M125,7:31:16,3,-1,1,AA7450,0,2,30
T431,T335,7:31:47,3,-1,1,MY9487,0,2,81
T355/1,C688/1,7:31:47,3,-1,1,AA7537,0,2,258
T376/1,T363/1,7:31:47,3,-1,1,MX7866,0,2,60
T335,T338,7:32:37,3,-1,1,MY9487,0,2,10
T363/1,T374,7:32:37,3,-1,1,MX7866,0,2,20
M137/2,M132/1,7:32:47,3,-1,1,MY9491,0,2,20
M125,M139/2,7:32:58,3,-1,2,AA7450,1,2,50
T374,T406,7:33:28,3,-1,1,MX7866,0,2,30
C688/1,C691,7:33:48,3,-1,1,AA7537,0,2,70
M132/1,M200,7:33:48,3,-1,2,MY9491,0,2,20
T338,T326/3,7:34:19,3,-1,-1,MY9487,0,2,70
M139/2,M184,7:34:29,3,-1,2,AA7450,0,2,40
M200,M201,7:34:49,3,-1,-1,MY9491,0,2,20
M184,M188,7:35:30,3,-1,1,AA7450,0,2,20
C691,C652,7:35:30,3,-1,1,AA7537,0,2,70
T326/3,T332/2,7:35:40,3,-1,1,MY9487,0,2,70
M201,M121,7:35:50,3,-1,1,MY9491,0,2,20
C652,C655,7:36:40,3,-1,1,AA7537,0,2,40
M188,M203/2,7:37:11,3,-1,1,AA7450,0,2,20
M121,M119,7:37:11,3,-1,1,MY9491,0,2,20
T334,M177,7:37:21,3,-1,1,MX7769,1,2,344
T332/2,T325/2,7:37:33,3,-1,1,MY9487,0,2,73
C655,C657,7:37:53,3,-1,1,AA7537,0,2,42
C657,C686,7:38:24,3,-1,1,AA7537,0,2,20
M203/2,M277,7:38:34,3,-1,-1,AA7450,0,2,50
T325/2,T339/2,7:38:34,3,-1,1,MY9487,0,2,20
M119,M113,7:39:04,3,-1,-1,MY9491,0,2,81
C686,C656,7:39:46,3,-1,1,AA7537,0,2,21
M177,M198,7:40:06,3,-1,1,MX7769,0,2,132
T406,T345/1,7:40:47,3,-1,-1,MX7866,0,2,418
M113,M94,7:40:47,3,-1,-1,MY9491,0,2,50
M277,M182/1,7:40:57,3,-1,1,AA7450,0,2,132
C656,C654/3,7:41:07,3,-1,1,AA7537,0,2,40
M94,M95/3,7:42:08,3,-1,-1,MY9491,0,2,60
T339/2,T408/1,7:42:18,3,-1,-1,MY9487,0,2,183
M198,M183/2,7:42:18,3,-1,1,MX7769,0,2,121
T345/1,T322,7:42:48,3,-1,-1,MX7866,0,2,101
M95/3,M22,7:43:29,3,-1,1,MY7560,0,2,111
M183/2,M140/1,7:43:39,3,-1,1,MX7769,0,2,50
T408/1,T343,7:44:29,3,-1,-1,MY9487,0,2,111
T322,T342,7:44:39,3,-1,-1,MX7866,0,2,101
C654/3,C653/2,7:44:50,3,-1,3,AA7537,0,2,192
M182/1,T431,7:45:00,3,-1,1,AA7450,0,2,202
M140/1,M137/2,7:45:10,3,-1,1,MX7769,0,2,70
C653/2,C692,7:45:54,3,-1,1,AA7537,0,2,54
M137/2,M132/1,7:46:04,3,-1,1,MX7769,0,2,20
T343,T316,7:47:05,3,-1,1,MY9487,0,2,104
C692,C689/1,7:47:05,3,-1,1,AA7537,0,2,40
M22,M10,7:47:37,3,-1,1,MY7560,0,2,187
T431,T338,7:48:18,3,-1,1,AA7450,1,2,163
T342,T409,7:48:38,3,-1,1,MX7866,0,2,72
T316,T345/5,7:49:08,3,-1,1,MY9487,0,2,113
C689/1,T355/2,7:50:09,3,-1,1,AA7537,0,2,151
T409,T368,7:50:09,3,-1,1,MX7866,0,2,60
T338,T326/3,7:50:19,3,-1,-1,AA7450,0,2,101
M132/1,M200,7:50:19,3,-1,3,MX7769,0,2,184
T368,T324/2,7:51:00,3,-1,1,MX7866,0,2,40
T345/5,T344,7:51:20,3,-1,1,MY9487,0,2,91
T326/3,T332/2,7:51:34,3,-1,1,AA7450,0,2,44
M10,M16/1,7:51:44,3,-1,1,MY7560,0,2,145
M200,M201,7:51:54,3,-1,-1,MX7769,0,2,20
T355/2,T360,7:52:05,3,-1,1,AA7537,0,2,95
T344,T356/1,7:52:25,3,-1,1,MY9487,0,2,30
T324/2,T327,7:52:25,3,-1,1,MX7866,0,2,50
T360,T376/1,7:52:55,3,-1,1,AA7537,0,2,30
T327,T326/2,7:53:36,3,-1,1,MX7866,0,2,20
