startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
C688/1,C691,06:50:06,3,-1,1,AC1346,91
C669/2,C687,06:50:16,3,-1,-1,AB5900,23
C691,C652,06:51:31,3,-1,1,AC1346,44
C687,C675,06:51:31,3,-1,-1,AB5900,61
C675,C668,06:52:01,3,-1,-1,AB5900,20
C668,C678,06:52:25,3,-1,-1,AB5900,13
C652,C655,06:52:32,3,-1,-1,AC1346,30
C652,C655,06:52:39,3,-1,-1,AC1346,3
C678,C665,06:52:52,3,-1,-1,AB5900,20
C665,C663,06:53:16,3,-1,-1,AB5900,13
C655,C657,06:53:43,3,-1,-1,AC1346,43
C663,C661,06:53:53,3,-1,-1,AB5900,27
C661,C659,06:54:23,3,-1,1,AB5900,20
C657,C660,06:54:47,3,-1,1,AC1346,40
C660,C662,06:55:18,3,-1,1,AC1346,24
C659,C656,06:55:41,3,-1,1,AB5900,40
C662,C664,06:55:48,3,-1,1,AC1346,27
C664,C666,06:56:32,3,-1,1,AC1346,16
C666,C677,06:56:57,3,-1,-1,AC1346,14
C656,C654/2,06:57:04,3,-1,1,AB5900,51
C677,C667,06:57:27,3,-1,-1,AC1346,23
C667,C676,06:57:49,3,-1,-1,AC1346,13
C654/2,C653/2,06:58:49,3,-1,1,AB5900,46
C676,C680,06:58:52,3,-1,-1,AC1346,53
C680,C669/1,06:59:40,3,-1,-1,AC1346,23
T336/2,T335/2,06:59:50,3,-1,1,AB5425,20
T335/2,T338,07:00:31,3,-1,1,AB5425,13
C653/2,C692,07:00:31,3,-1,1,AB5900,88
C669/1,C693,07:01:14,3,-1,1,AC1346,50
T338,T326/3,07:01:25,3,-1,-1,AB5425,40
C692,C689/1,07:02:02,3,-1,1,AB5900,44
T326/3,T332/2,07:02:06,3,-1,1,AB5425,30
C693,C681,07:03:31,3,-1,-1,AC1346,125
T332/2,T325/2,07:03:37,3,-1,-1,AB5425,54
T325/2,T339/4,07:04:21,3,-1,-1,AB5425,16
C681,C671,07:04:45,3,-1,-1,AC1346,47
C689/1,T360,07:04:52,3,-1,-1,AB5900,115
T339/4,T313,07:05:29,3,-1,1,AB5425,57
C671,C695,07:06:27,3,-1,-1,AC1346,78
T313,T315,07:06:37,3,-1,1,AB5425,20
T360,T376/1,07:07:08,3,-1,1,AB5900,95
T315,T375,07:07:57,3,-1,1,AB5425,69
C695,C673,07:08:15,3,-1,-1,AC1346,81
C673,C672,07:09:06,3,-1,-1,AC1346,27
T376/1,T363/1,07:09:06,3,-1,1,AB5900,109
T375,T380,07:09:51,3,-1,-1,AB5425,78
T363/1,T306,07:10:26,3,-1,1,AB5900,52
T380,T379,07:10:30,3,-1,1,AB5425,7
T306,T314/2,07:11:14,3,-1,-1,AB5900,44
T379,T359,07:11:39,3,-1,1,AB5425,52
C672,C670,07:11:42,3,-1,-1,AC1346,111
T314/2,T318,07:11:59,3,-1,-1,AB5900,10
T318,T319,07:12:14,3,-1,-1,AB5900,3
C670,C679,07:12:28,3,-1,-1,AC1346,35
T359,T355/1,07:12:41,3,-1,1,AB5425,52
T319,T320,07:12:58,3,-1,-1,AB5900,30
T320,T321/2,07:13:29,3,-1,-1,AB5900,16
T320,T321/2,07:13:39,3,-1,-1,AB5900,3
T321/2,T323,07:14:24,3,-1,1,AB5900,20
C679,C694,07:15:01,3,-1,-1,AC1346,146
T323,T324/2,07:15:08,3,-1,1,AB5900,13
C694,C669/2,07:15:46,3,-1,-1,AC1346,37
T324/2,T327,07:16:29,3,-1,1,AB5900,54
C669/2,C687,07:16:37,3,-1,-1,AC1346,17
T327,T326/1,07:17:24,3,-1,1,AB5900,27
C687,C675,07:17:38,3,-1,-1,AC1346,50
C675,C668,07:18:08,3,-1,1,AC1346,23
C668,C678,07:18:25,3,-1,1,AC1346,10
T326/1,T337,07:18:25,3,-1,-1,AB5900,52
C678,C665,07:18:55,3,-1,1,AC1346,20
C688/1,C691,07:19:16,3,-1,1,AB5425,98
C665,C663,07:19:16,3,-1,1,AC1346,13
C663,C661,07:20:10,3,-1,2,AC1346,30
C661,C659,07:20:41,3,-1,-1,AC1346,21
C691,C652,07:21:09,3,-1,1,AB5425,75
C659,C656,07:22:01,3,-1,1,AC1346,42
C652,C655,07:22:35,3,-1,-1,AB5425,30
C655,C657,07:23:26,3,-1,-1,AB5425,43
C656,C654/2,07:23:26,3,-1,1,AC1346,47
