startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,passbyNum,weather,arrivalDuration
M95/3,M22,6:00:00,6,-1,1,MY9487,0,2,10
M22,M10,6:01:33,6,-1,1,MY9487,0,2,41
M10,M16/1,6:03:45,6,-1,1,MY9487,0,2,112
M16/1,M109,6:05:37,6,-1,1,MY9487,0,2,10
M109,M127,6:08:39,6,-1,1,MY9487,1,2,151
M127,M125,6:09:39,6,-1,1,MY9487,0,2,50
M125,M136/2,6:10:32,6,-1,1,MY9487,0,2,22
M136/2,M139/2,6:10:52,6,-1,1,MY9487,0,2,10
M139/2,M184,6:12:54,6,-1,1,MY9487,0,2,81
M184,M188,6:13:34,6,-1,1,MY9487,0,2,10
M188,M203/2,6:15:27,6,-1,1,MY9487,0,2,10
M203/2,M277,6:16:31,6,-1,-1,MY9487,0,2,40
M277,M182/1,6:18:43,6,-1,1,MY9487,0,2,121
M95/3,M22,6:21:19,6,-1,-1,MY7560,0,2,60
M182/1,T431,6:22:20,6,-1,-1,MY9487,0,2,206
M22,M10,6:22:54,6,-1,-1,MY7560,0,2,44
T431,T335,6:23:25,6,-1,-1,MY9487,0,2,50
T335,T338,6:23:55,6,-1,-1,MY9487,0,2,20
M10,M16/1,6:25:06,6,-1,2,MY7560,0,2,60
T338,T326/3,6:25:16,6,-1,-1,MY9487,0,2,70
M16/1,M109,6:26:27,6,-1,1,MY7560,0,2,10
T326/3,T325/2,6:26:57,6,-1,1,MY9487,1,2,91
T325/2,T339/2,6:27:38,6,-1,1,MY9487,0,2,20
M109,M112,6:28:59,6,-1,1,MY7560,0,2,111
T339/2,T408/1,6:29:09,6,-1,-1,MY9487,0,2,60
M112,M127,6:31:00,6,-1,1,MY7560,0,2,20
T408/1,T343,6:31:10,6,-1,-1,MY9487,0,2,101
M127,M125,6:32:46,6,-1,1,MY7560,0,2,61
T343,T316,6:33:16,6,-1,1,MY9487,0,2,92
M125,M136/2,6:34:17,6,-1,1,MY7560,0,2,70
C653/2,C692,6:34:27,6,-1,1,AA7864,0,2,81
M136/2,M139/2,6:34:37,6,-1,2,MY7560,0,2,10
C692,C689/1,6:34:47,6,-1,1,AA7864,0,2,10
T316,T345/5,6:34:57,6,-1,1,MY9487,0,2,91
M139/2,M184,6:35:28,6,-1,1,MY7560,0,2,20
T345/5,T344,6:36:18,6,-1,1,MY9487,0,2,71
M184,M188,6:36:29,6,-1,1,MY7560,0,2,10
M188,M203/2,6:37:09,6,-1,1,MY7560,0,2,10
T344,T356/1,6:37:19,6,-1,1,MY9487,0,2,30
M203/2,M277,6:38:10,6,-1,-1,MY7560,0,2,30
C689/1,T355/2,6:38:20,6,-1,1,AA7864,0,2,192
T356/1,T358,6:39:24,6,-1,1,MY9487,0,2,115
T358,T373/2,6:39:55,6,-1,1,MY9487,0,2,20
T355/2,T360,6:40:15,6,-1,1,AA7864,0,2,101
M95/3,M22,6:40:25,6,-1,1,MY9491,0,2,40
T373/2,T375,6:40:35,6,-1,1,MY9487,0,2,20
M22,M10,6:41:26,6,-1,1,MY9491,0,2,40
T375,T380,6:41:36,6,-1,1,MY9487,0,2,20
T380,T379,6:42:16,6,-1,1,MY9487,0,2,10
T360,T376/1,6:42:16,6,-1,1,AA7864,0,2,101
M10,M16/1,6:42:47,6,-1,1,MY9491,0,2,70
T379,T359,6:42:47,6,-1,1,MY9487,0,2,20
M16/1,M109,6:43:47,6,-1,1,MY9491,0,2,30
T359,T355/1,6:43:47,6,-1,1,MY9487,0,2,50
M277,T431,6:44:08,6,-1,1,MY7560,1,2,347
T376/1,T363/1,6:44:18,6,-1,1,AA7864,0,2,111
C686,C656,6:45:08,6,-1,1,MX7866,0,2,30
T363/1,T406,6:45:39,6,-1,1,AA7864,1,2,60
C656,C654/3,6:46:09,6,-1,1,MX7866,0,2,50
M109,M112,6:46:29,6,-1,1,MY9491,0,2,131
T431,T326/3,6:46:39,6,-1,-1,MY7560,2,2,141
M112,M127,6:47:00,6,-1,1,MY9491,0,2,10
C654/3,C653/2,6:47:10,6,-1,1,MX7866,0,2,30
T326/3,T332/2,6:47:20,6,-1,1,MY7560,0,2,30
M127,M125,6:47:54,6,-1,1,MY9491,0,2,20
T355/1,C688/1,6:47:54,6,-1,1,MY9487,0,2,236
C653/2,C692,6:48:24,6,-1,1,MX7866,0,2,64
T332/2,T325/2,6:48:34,6,-1,1,MY7560,0,2,40
M125,M136/2,6:48:44,6,-1,1,MY9491,0,2,20
M136/2,M139/2,6:49:15,6,-1,2,MY9491,0,2,20
C688/1,C691,6:49:15,6,-1,1,MY9487,0,2,30
T325/2,T339/2,6:49:39,6,-1,1,MY7560,0,2,24
C692,C689/1,6:49:49,6,-1,1,MX7866,0,2,54
M139/2,M184,6:50:09,6,-1,2,MY9491,0,2,20
T406,T345/1,6:50:09,6,-1,-1,AA7864,0,2,260
T339/2,T408/1,6:50:40,6,-1,-1,MY7560,0,2,50
M184,M188,6:51:00,6,-1,1,MY9491,0,2,10
C691,C652,6:51:33,6,-1,1,MY9487,0,2,103
T345/1,T322,6:52:13,6,-1,-1,AA7864,0,2,93
C652,C655,6:52:23,6,-1,1,MY9487,0,2,30
C689/1,T355/2,6:52:33,6,-1,1,MX7866,0,2,133
M188,M203/2,6:52:44,6,-1,1,MY9491,0,2,70
T408/1,T343,6:52:54,6,-1,-1,MY7560,0,2,93
C655,C657,6:53:24,6,-1,1,MY9487,0,2,50
C657,C686,6:53:54,6,-1,1,MY9487,0,2,20
T322,T342,6:54:25,6,-1,-1,AA7864,0,2,91
T355/2,T360,6:54:35,6,-1,1,MX7866,0,2,101
T343,T316,6:54:55,6,-1,1,MY7560,0,2,91
T342,T409,6:55:05,6,-1,1,AA7864,0,2,30
C686,C656,6:55:15,6,-1,1,MY9487,0,2,30
T360,T376/1,6:55:15,6,-1,1,MX7866,0,2,20
T409,T368,6:55:56,6,-1,1,AA7864,0,2,40
M203/2,M182/1,6:56:16,6,-1,1,MY9491,1,2,192
T368,T324/2,6:56:36,6,-1,1,AA7864,0,2,30
C656,C654/3,6:56:46,6,-1,1,MY9487,0,2,60
T316,T345/5,6:57:17,6,-1,1,MY7560,0,2,131
T376/1,T363/1,6:57:27,6,-1,1,MX7866,0,2,121
T324/2,T327,6:57:57,6,-1,1,AA7864,0,2,50
T363/1,T374,6:58:17,6,-1,1,MX7866,0,2,20
T327,T326/2,6:58:38,6,-1,1,AA7864,0,2,20
T374,T406,6:58:58,6,-1,1,MX7866,0,2,30
T345/5,T356/1,6:59:08,6,-1,1,MY7560,1,2,101
T326/2,T337,6:59:39,6,-1,1,AA7864,0,2,50
M182/1,T431,6:59:49,6,-1,1,MY9491,0,2,202
T356/1,T358,7:00:29,6,-1,1,MY7560,0,2,50
T337,T334,7:00:29,6,-1,1,AA7864,0,2,10
T431,T335,7:01:10,6,-1,1,MY9491,0,2,70
T358,T373/2,7:01:10,6,-1,1,MY7560,0,2,30
T335,T338,7:01:44,6,-1,1,MY9491,0,2,10
T373/2,T375,7:01:54,6,-1,1,MY7560,0,2,20
T334,T430,7:02:04,6,-1,1,AA7864,0,2,54
C654/3,C689/1,7:02:24,6,-1,1,MY9487,2,2,256
T338,T326/3,7:03:05,6,-1,-1,MY9491,0,2,70
M95/3,M22,7:03:55,6,-1,1,MX7769,0,2,80
T375,T379,7:03:55,6,-1,1,MY7560,1,2,101
T406,T345/1,7:03:55,6,-1,-1,MX7866,0,2,287
T379,T359,7:04:26,6,-1,1,MY7560,0,2,20
C689/1,T355/2,7:04:36,6,-1,1,MY9487,0,2,121
T326/3,T325/2,7:05:06,6,-1,1,MY9491,1,2,111
T359,T355/1,7:05:16,6,-1,1,MY7560,0,2,40
T325/2,T339/2,7:05:36,6,-1,1,MY9491,0,2,10
M22,M10,7:05:47,6,-1,1,MX7769,0,2,70
T345/1,T322,7:06:27,6,-1,-1,MX7866,0,2,121
T355/2,T360,7:06:47,6,-1,1,MY9487,0,2,111
T430,M177,7:06:47,6,-1,1,AA7864,0,2,273
